brand,model,price_usd,ram_gb,storage_gb,camera_mp,battery_mah,display_size_inch,charging_watt,5g_support,os,processor,rating,release_month,year,price_segment,value_score,camera_total_mp,performance_tier,battery_efficiency,screen_to_body_estimate
Apple,"iPhone 16 Pro 656",1466,12,256,108,4000,6.1,33,Yes,iOS,"Snapdragon 7+ Gen 2",4.4,December,2025,Flagship,0.0030,108,High,2.7285,87.00
Apple,"iPhone 16 Pro 672",1087,8,128,64,6000,6.9,120,Yes,iOS,"Snapdragon 8 Gen 3",3.7,February,2025,Premium,0.0034,64,Flagship,5.5198,89.00
Apple,"iPhone 16 Pro 679",646,12,128,50,5000,6.8,120,No,iOS,"Helio G99",3.6,December,2025,Mid-range,0.0056,50,Entry,7.7399,89.00
Apple,"iPhone 16 Pro 7",336,8,512,64,4500,6.3,120,Yes,iOS,"Tensor G4",3.8,August,2025,Budget,0.0113,64,High,13.3929,87.00
Apple,"iPhone 16 Pro 711",1477,12,512,200,6000,5.7,18,No,iOS,"Dimensity 9300",5,August,2025,Flagship,0.0034,200,Flagship,4.0623,85.00
Apple,"iPhone 16 Pro 763",348,12,1024,108,6000,6.4,100,No,iOS,"Snapdragon 8 Gen 3",4.2,April,2025,Budget,0.0121,108,Flagship,17.2414,87.00
Apple,"iPhone 16 Pro 772",139,4,64,50,4500,5.9,120,No,iOS,"Snapdragon 6 Gen 1",4,September,2025,Budget,0.0288,50,Mid,32.3741,85.00
Apple,"iPhone 16 Pro 875",703,4,64,200,5500,5.6,33,Yes,iOS,"A18 Pro",4.7,April,2025,Mid-range,0.0067,200,Flagship,7.8236,85.00
Apple,"iPhone 16 Pro 887",1204,4,128,200,4500,6.4,100,Yes,iOS,"Helio G99",3.8,February,2025,Flagship,0.0032,200,Entry,3.7375,87.00
Apple,"iPhone 16 Pro 89",151,8,128,108,5500,6.3,44,Yes,iOS,"Dimensity 9300",4.7,June,2025,Budget,0.0311,108,Flagship,36.4238,87.00
Apple,"iPhone 16 Pro 894",1371,16,128,64,4500,7,65,No,iOS,"Helio G99",4.1,October,2025,Flagship,0.0030,64,Entry,3.2823,92.00
Apple,"iPhone 16 Pro 99",993,4,128,64,5000,5.8,65,Yes,iOS,"Dimensity 9300",4.6,September,2025,Premium,0.0046,64,Flagship,5.0352,85.00
Apple,"iPhone 16 Pro Max 11",602,6,512,108,4500,6.9,65,No,iOS,"Dimensity 9300",4.4,June,2025,Mid-range,0.0073,108,Flagship,7.4751,89.00
Apple,"iPhone 16 Pro Max 117",1186,8,512,200,4000,6.5,18,No,iOS,"Exynos 2400",3.9,February,2025,Premium,0.0033,200,Flagship,3.3727,89.00
Apple,"iPhone 16 Pro Max 193",768,16,256,50,6000,6.6,33,No,iOS,"Exynos 2400",3.8,June,2025,Mid-range,0.0049,50,Flagship,7.8125,89.00
Apple,"iPhone 16 Pro Max 22",625,6,1024,50,4500,6.5,65,Yes,iOS,"Snapdragon 7+ Gen 2",4.3,August,2025,Mid-range,0.0069,50,High,7.2000,89.00
Apple,"iPhone 16 Pro Max 228",933,8,1024,48,5500,5.7,65,Yes,iOS,"Helio G99",3.7,August,2025,Premium,0.0040,48,Entry,5.8950,85.00
Apple,"iPhone 16 Pro Max 232",1447,16,64,64,4500,6.7,33,Yes,iOS,"Exynos 2400",4.7,November,2025,Flagship,0.0032,64,Flagship,3.1099,89.00
Apple,"iPhone 16 Pro Max 355",1020,8,64,108,6000,6.2,33,Yes,iOS,"Snapdragon 6 Gen 1",4.4,February,2025,Premium,0.0043,108,Mid,5.8824,87.00
Apple,"iPhone 16 Pro Max 359",1417,12,512,48,5000,5.6,18,No,iOS,"Helio G99",4.9,October,2025,Flagship,0.0035,48,Entry,3.5286,85.00
Apple,"iPhone 16 Pro Max 361",1163,12,64,108,4000,7,100,No,iOS,"A18 Pro",4.1,March,2025,Premium,0.0035,108,Flagship,3.4394,92.00
Apple,"iPhone 16 Pro Max 362",528,4,512,50,5500,7.2,120,No,iOS,"Snapdragon 8 Gen 3",4.6,January,2025,Mid-range,0.0087,50,Flagship,10.4167,92.00
Apple,"iPhone 16 Pro Max 409",383,16,1024,64,5500,6.7,44,Yes,iOS,"Snapdragon 7+ Gen 2",3.6,August,2025,Budget,0.0094,64,High,14.3603,89.00
Apple,"iPhone 16 Pro Max 413",168,4,256,48,4000,6.1,65,Yes,iOS,"Snapdragon 7+ Gen 2",4.8,July,2025,Budget,0.0286,48,High,23.8095,87.00
Apple,"iPhone 16 Pro Max 419",1275,12,1024,50,4500,5.9,100,No,iOS,"A18 Pro",3.7,May,2025,Flagship,0.0029,50,Flagship,3.5294,85.00
Apple,"iPhone 16 Pro Max 437",918,8,1024,64,4500,6.7,120,No,iOS,"Dimensity 9300",4.3,October,2025,Premium,0.0047,64,Flagship,4.9020,89.00
Apple,"iPhone 16 Pro Max 449",727,12,512,64,5000,6.9,65,No,iOS,"Helio G99",3.8,July,2025,Mid-range,0.0052,64,Entry,6.8776,89.00
Apple,"iPhone 16 Pro Max 497",436,12,1024,50,5000,5.9,18,Yes,iOS,"Tensor G4",4.5,June,2025,Mid-range,0.0103,50,High,11.4679,85.00
Apple,"iPhone 16 Pro Max 533",1467,8,1024,64,5500,6.8,65,Yes,iOS,"Dimensity 9300",3.7,July,2025,Flagship,0.0025,64,Flagship,3.7491,89.00
Apple,"iPhone 16 Pro Max 541",817,16,64,12,6000,6.9,100,Yes,iOS,"Snapdragon 7+ Gen 2",4.5,May,2025,Premium,0.0055,12,High,7.3439,89.00
Apple,"iPhone 16 Pro Max 598",154,12,64,108,4000,6.4,65,Yes,iOS,"Dimensity 9300",3.8,January,2025,Budget,0.0247,108,Flagship,25.9740,87.00
Apple,"iPhone 16 Pro Max 605",790,12,256,50,4000,6.5,18,Yes,iOS,"A18 Pro",3.6,June,2025,Mid-range,0.0046,50,Flagship,5.0633,89.00
Apple,"iPhone 16 Pro Max 615",367,4,512,200,4500,7.2,65,No,iOS,"Dimensity 9300",4.2,April,2025,Budget,0.0114,200,Flagship,12.2616,92.00
Apple,"iPhone 16 Pro Max 629",1138,4,128,200,5000,6.2,65,Yes,iOS,"Helio G99",3.5,July,2025,Premium,0.0031,200,Entry,4.3937,87.00
Apple,"iPhone 16 Pro Max 779",164,6,512,48,4000,6.6,33,No,iOS,"Snapdragon 6 Gen 1",4.5,December,2025,Budget,0.0274,48,Mid,24.3902,89.00
Apple,"iPhone 16 Pro Max 814",1342,8,512,64,5500,7.2,120,No,iOS,"Helio G99",4.4,November,2025,Flagship,0.0033,64,Entry,4.0984,92.00
Apple,"iPhone 16 Pro Max 871",445,16,256,200,6000,5.7,65,Yes,iOS,"Dimensity 9300",4.5,May,2025,Mid-range,0.0101,200,Flagship,13.4831,85.00
Apple,"iPhone 16 Pro Max 927",335,12,128,200,5000,6.9,100,Yes,iOS,"Dimensity 9300",3.5,February,2025,Budget,0.0104,200,Flagship,14.9254,89.00
Apple,"iPhone 16 Pro Max 945",715,12,1024,64,4000,5.9,18,Yes,iOS,"Snapdragon 7+ Gen 2",3.6,April,2025,Mid-range,0.0050,64,High,5.5944,85.00
Apple,"iPhone 16 Pro Max 954",1083,4,128,48,5000,5.7,120,Yes,iOS,"Helio G99",3.6,May,2025,Premium,0.0033,48,Entry,4.6168,85.00
Apple,"iPhone 16 Pro Max 955",706,12,1024,64,4000,7.1,120,No,iOS,"Helio G99",4.5,December,2025,Mid-range,0.0064,64,Entry,5.6657,92.00
Apple,"iPhone 16 Pro Max 988",545,4,256,64,5000,5.7,44,Yes,iOS,"Helio G99",3.8,July,2025,Mid-range,0.0070,64,Entry,9.1743,85.00
Google,"Pixel 7a 2",961,8,256,12,4000,5.9,44,Yes,Android,"Helio G99",4,November,2025,Premium,0.0042,12,Entry,4.1623,85.00
Google,"Pixel 7a 237",1080,8,1024,12,4500,6.7,120,No,Android,"Helio G99",4.5,October,2025,Premium,0.0042,12,Entry,4.1667,89.00
Google,"Pixel 7a 275",799,12,512,108,5500,7,120,No,Android,"Dimensity 9300",4.9,April,2025,Mid-range,0.0061,108,Flagship,6.8836,92.00
Google,"Pixel 7a 315",980,16,512,48,6000,7.1,18,No,Android,"Dimensity 9300",3.7,December,2025,Premium,0.0038,48,Flagship,6.1224,92.00
Google,"Pixel 7a 323",1068,16,64,48,5500,6.5,33,Yes,Android,"Helio G99",4,October,2025,Premium,0.0037,48,Entry,5.1498,89.00
Google,"Pixel 7a 380",1427,4,128,200,5000,6.9,33,Yes,Android,"Dimensity 9300",3.8,January,2025,Flagship,0.0027,200,Flagship,3.5039,89.00
Google,"Pixel 7a 407",253,16,256,12,4500,6.7,120,Yes,Android,"Tensor G4",4.4,May,2025,Budget,0.0174,12,High,17.7866,89.00
Google,"Pixel 7a 412",1107,8,256,108,6000,6,65,Yes,Android,"Snapdragon 6 Gen 1",4,November,2025,Premium,0.0036,108,Mid,5.4201,87.00
Google,"Pixel 7a 421",1143,8,256,64,5500,7,120,No,Android,"Exynos 2400",4.6,July,2025,Premium,0.0040,64,Flagship,4.8119,92.00
Google,"Pixel 7a 437",429,16,1024,200,4000,5.8,44,No,Android,"Helio G99",3.7,October,2025,Mid-range,0.0086,200,Entry,9.3240,85.00
Google,"Pixel 7a 477",528,12,256,64,5000,6.8,33,Yes,Android,"Dimensity 9300",3.9,March,2025,Mid-range,0.0074,64,Flagship,9.4697,89.00
Google,"Pixel 7a 498",889,4,1024,50,5500,6.5,100,Yes,Android,"A18 Pro",4.2,April,2025,Premium,0.0047,50,Flagship,6.1867,89.00
Google,"Pixel 7a 526",707,12,64,200,5000,6.9,18,Yes,Android,"Snapdragon 8 Gen 3",4.8,May,2025,Mid-range,0.0068,200,Flagship,7.0721,89.00
Google,"Pixel 7a 545",227,8,64,12,5000,5.8,44,Yes,Android,"Exynos 2400",4.1,March,2025,Budget,0.0181,12,Flagship,22.0264,85.00
Google,"Pixel 7a 566",983,4,512,50,5000,6.8,100,Yes,Android,"Dimensity 9300",4,January,2025,Premium,0.0041,50,Flagship,5.0865,89.00
Google,"Pixel 7a 59",122,4,64,200,6000,6.7,18,No,Android,"Tensor G4",5,September,2025,Budget,0.0410,200,High,49.1803,89.00
Google,"Pixel 7a 626",188,16,512,48,5500,6.3,33,Yes,Android,"Tensor G4",3.8,September,2025,Budget,0.0202,48,High,29.2553,87.00
Google,"Pixel 7a 684",1426,4,64,108,5000,6.6,100,No,Android,"A18 Pro",5,December,2025,Flagship,0.0035,108,Flagship,3.5063,89.00
Google,"Pixel 7a 786",1458,12,128,200,5500,6.7,18,No,Android,"Snapdragon 8 Gen 3",4.4,May,2025,Flagship,0.0030,200,Flagship,3.7723,89.00
Google,"Pixel 7a 89",1256,6,512,50,5000,7.1,33,Yes,Android,"Snapdragon 7+ Gen 2",4.7,October,2025,Flagship,0.0037,50,High,3.9809,92.00
Google,"Pixel 7a 892",501,12,128,48,5000,6.8,44,No,Android,"Snapdragon 6 Gen 1",3.7,October,2025,Mid-range,0.0074,48,Mid,9.9800,89.00
Google,"Pixel 7a 954",1074,16,64,12,5500,6,100,No,Android,"Exynos 2400",4,June,2025,Premium,0.0037,12,Flagship,5.1210,87.00
Google,"Pixel 7a 974",515,8,1024,12,4000,6,18,No,Android,"A18 Pro",3.6,July,2025,Mid-range,0.0070,12,Flagship,7.7670,87.00
Google,"Pixel 8 114",1139,12,128,50,5500,6.2,120,No,Android,"Exynos 2400",4.8,June,2025,Premium,0.0042,50,Flagship,4.8288,87.00
Google,"Pixel 8 153",920,4,256,200,4000,5.5,18,Yes,Android,"Helio G99",3.5,April,2025,Premium,0.0038,200,Entry,4.3478,82.00
Google,"Pixel 8 16",138,16,64,50,4000,6.3,44,Yes,Android,"A18 Pro",3.7,March,2025,Budget,0.0268,50,Flagship,28.9855,87.00
Google,"Pixel 8 175",1164,8,128,12,5500,5.9,44,No,Android,"Tensor G4",3.8,November,2025,Premium,0.0033,12,High,4.7251,85.00
Google,"Pixel 8 180",777,8,128,50,6000,7.1,120,No,Android,"Dimensity 9300",3.6,September,2025,Mid-range,0.0046,50,Flagship,7.7220,92.00
Google,"Pixel 8 185",1340,6,64,200,4500,6,44,No,Android,"Dimensity 9300",4.1,December,2025,Flagship,0.0031,200,Flagship,3.3582,87.00
Google,"Pixel 8 349",1397,6,64,48,4000,5.6,100,Yes,Android,"Snapdragon 8 Gen 3",4.8,April,2025,Flagship,0.0034,48,Flagship,2.8633,85.00
Google,"Pixel 8 416",952,6,256,50,4000,7.1,65,No,Android,"Dimensity 9300",4.4,June,2025,Premium,0.0046,50,Flagship,4.2017,92.00
Google,"Pixel 8 418",1278,4,1024,64,6000,5.5,65,No,Android,"Tensor G4",4.2,October,2025,Flagship,0.0033,64,High,4.6948,82.00
Google,"Pixel 8 485",1375,4,1024,200,6000,5.8,33,No,Android,"Helio G99",3.8,February,2025,Flagship,0.0028,200,Entry,4.3636,85.00
Google,"Pixel 8 488",1209,16,64,48,5000,6,33,No,Android,"Dimensity 9300",3.6,January,2025,Flagship,0.0030,48,Flagship,4.1356,87.00
Google,"Pixel 8 540",1230,6,128,200,4000,5.6,44,No,Android,"Helio G99",4.4,February,2025,Flagship,0.0036,200,Entry,3.2520,85.00
Google,"Pixel 8 580",520,8,512,108,4500,6.7,65,Yes,Android,"Snapdragon 6 Gen 1",3.9,August,2025,Mid-range,0.0075,108,Mid,8.6538,89.00
Google,"Pixel 8 615",531,6,1024,48,4000,5.5,44,Yes,Android,"A18 Pro",3.6,March,2025,Mid-range,0.0068,48,Flagship,7.5330,82.00
Google,"Pixel 8 659",445,16,256,50,4000,6.1,33,No,Android,"Snapdragon 8 Gen 3",4.2,November,2025,Mid-range,0.0094,50,Flagship,8.9888,87.00
Google,"Pixel 8 692",789,16,512,12,5000,5.9,44,Yes,Android,"Snapdragon 8 Gen 3",4.1,September,2025,Mid-range,0.0052,12,Flagship,6.3371,85.00
Google,"Pixel 8 701",1373,4,256,108,4000,5.6,120,No,Android,"Snapdragon 7+ Gen 2",5,November,2025,Flagship,0.0036,108,High,2.9133,85.00
Google,"Pixel 8 757",290,12,128,12,5500,6.1,65,No,Android,"Snapdragon 7+ Gen 2",3.7,June,2025,Budget,0.0128,12,High,18.9655,87.00
Google,"Pixel 8 809",653,8,128,200,6000,6,65,Yes,Android,"Exynos 2400",4.1,April,2025,Mid-range,0.0063,200,Flagship,9.1884,87.00
Google,"Pixel 8 951",761,4,64,200,6000,6.2,65,Yes,Android,"Helio G99",3.5,July,2025,Mid-range,0.0046,200,Entry,7.8844,87.00
Google,"Pixel 8 989",121,4,128,64,5000,6.4,100,No,Android,"Snapdragon 6 Gen 1",3.5,June,2025,Budget,0.0289,64,Mid,41.3223,87.00
Google,"Pixel 9 122",383,12,512,50,4500,6.4,18,No,Android,"Tensor G4",5,November,2025,Budget,0.0131,50,High,11.7493,87.00
Google,"Pixel 9 125",1300,16,256,64,4000,6.9,65,No,Android,"Dimensity 9300",3.7,September,2025,Flagship,0.0028,64,Flagship,3.0769,89.00
Google,"Pixel 9 187",1019,8,1024,50,5500,6.2,120,No,Android,"Dimensity 9300",4.1,September,2025,Premium,0.0040,50,Flagship,5.3974,87.00
Google,"Pixel 9 21",402,12,1024,48,6000,5.8,120,Yes,Android,"Snapdragon 8 Gen 3",4.3,May,2025,Mid-range,0.0107,48,Flagship,14.9254,85.00
Google,"Pixel 9 228",726,16,64,48,5500,6.6,44,No,Android,"Snapdragon 8 Gen 3",3.8,November,2025,Mid-range,0.0052,48,Flagship,7.5758,89.00
Google,"Pixel 9 256",825,12,64,12,4500,6.3,18,No,Android,"Exynos 2400",3.9,December,2025,Premium,0.0047,12,Flagship,5.4545,87.00
Google,"Pixel 9 275",1406,16,1024,200,5000,7,100,No,Android,"A18 Pro",3.8,May,2025,Flagship,0.0027,200,Flagship,3.5562,92.00
Google,"Pixel 9 277",464,16,1024,200,6000,5.7,100,Yes,Android,"Snapdragon 6 Gen 1",4.9,September,2025,Mid-range,0.0106,200,Mid,12.9310,85.00
Google,"Pixel 9 284",604,4,64,12,5500,7.1,33,No,Android,"A18 Pro",3.5,March,2025,Mid-range,0.0058,12,Flagship,9.1060,92.00
Google,"Pixel 9 297",406,6,256,64,4500,6.7,18,No,Android,"A18 Pro",4.2,May,2025,Mid-range,0.0103,64,Flagship,11.0837,89.00
Google,"Pixel 9 345",1350,8,1024,108,5500,6.3,18,Yes,Android,"Exynos 2400",4.8,June,2025,Flagship,0.0036,108,Flagship,4.0741,87.00
Google,"Pixel 9 348",474,12,256,12,5000,7.2,120,Yes,Android,"Snapdragon 8 Gen 3",3.9,July,2025,Mid-range,0.0082,12,Flagship,10.5485,92.00
